FlightID,RouteCode,Origin,Destination,FlightDate,FlightDurationMins,AircraftType,SeatsAvailable,SeatsSold,Revenue,OperationalCost
FL100000,BLR-HYD,BLR,HYD,2024-04-03,67,A321,150,87,311895,86672
FL100001,AMD-HYD,AMD,HYD,2025-11-18,72,B787,180,134,714488,140441
FL100002,DEL-JAI,DEL,JAI,2024-01-21,81,A320,70,35,139580,125506
FL100003,HYD-AMD,HYD,AMD,2024-04-10,65,A320,120,110,449460,131899
FL100004,DEL-JAI,DEL,JAI,2025-05-04,99,B737,90,56,159264,151230
FL100005,GOI-BLR,GOI,BLR,2024-01-01,163,A320,70,43,238908,106115
FL100006,GOI-PNQ,GOI,PNQ,2024-03-22,120,B787,120,51,276879,142110
FL100007,GOI-AMD,GOI,AMD,2025-12-29,166,B787,90,31,195920,82011
FL100008,PNQ-AMD,PNQ,AMD,2025-07-15,77,ATR72,70,50,293900,93759
FL100009,MAA-PNQ,MAA,PNQ,2024-08-28,160,B737,70,44,186736,119084
FL100010,DEL-BOM,DEL,BOM,2024-09-14,125,A320,180,151,621214,135545
FL100011,GOI-CCU,GOI,CCU,2025-05-20,112,A321,70,57,167523,160411
FL100012,BOM-PNQ,BOM,PNQ,2024-05-08,109,A321,150,90,437850,156546
FL100013,PNQ-AMD,PNQ,AMD,2025-12-14,62,B787,150,88,396528,96130
FL100014,PNQ-MAA,PNQ,MAA,2025-11-20,126,ATR72,90,54,339336,92444
FL100015,AMD-CCU,AMD,CCU,2025-12-28,82,Q400,90,87,521217,197294
FL100016,BOM-CCU,BOM,CCU,2024-05-22,69,B737,78,50,176850,149919
FL100017,GOI-CCU,GOI,CCU,2024-05-20,77,A320,90,78,203814,153046
FL100018,HYD-CCU,HYD,CCU,2025-08-15,72,B787,90,63,348516,170037
FL100019,MAA-BLR,MAA,BLR,2024-03-26,119,A321,120,31,136524,198693
FL100020,AMD-BLR,AMD,BLR,2025-10-08,180,B737,78,58,223706,140601
FL100021,DEL-BLR,DEL,BLR,2024-11-14,104,A321,90,78,231270,113721
FL100022,CCU-JAI,CCU,JAI,2025-10-10,119,A321,180,127,688721,180648
FL100023,BOM-MAA,BOM,MAA,2024-08-02,98,ATR72,150,38,200982,154494
FL100024,BOM-HYD,BOM,HYD,2024-04-09,95,A321,180,145,653515,82807
FL100025,BOM-GOI,BOM,GOI,2025-04-21,149,B737,180,56,283752,81882
FL100026,JAI-BLR,JAI,BLR,2025-01-24,168,B787,90,77,470470,196740
FL100027,BOM-DEL,BOM,DEL,2025-03-22,135,B737,180,82,243622,197337
FL100028,PNQ-AMD,PNQ,AMD,2025-06-17,73,A321,120,43,128054,147991
FL100029,MAA-HYD,MAA,HYD,2025-12-23,135,B787,120,44,273592,170895
FL100030,PNQ-JAI,PNQ,JAI,2025-03-30,95,A321,150,31,184264,139186
FL100031,BOM-BLR,BOM,BLR,2025-05-11,143,Q400,90,61,235338,92639
FL100032,JAI-MAA,JAI,MAA,2025-03-01,116,Q400,120,62,368466,111009
FL100033,MAA-DEL,MAA,DEL,2025-05-31,133,Q400,150,43,154456,192054
FL100034,GOI-JAI,GOI,JAI,2025-01-05,83,ATR72,90,89,264508,130789
FL100035,GOI-BOM,GOI,BOM,2024-02-29,90,B787,90,67,212323,164385
FL100036,JAI-DEL,JAI,DEL,2025-04-28,81,A320,150,117,353925,112884
FL100037,MAA-DEL,MAA,DEL,2024-10-09,86,A321,180,157,423429,176058
